"title","year","length","budget","rating","votes","mpaa"
"Black Scorpion II: Aftershock",1997,85,NA,3.3,164,"R"
"Black Sheep",1996,87,NA,5.2,3634,"PG-13"
"Black Thunder",1997,85,NA,3.5,96,"R"
"Black and White",1999,98,10000000,5.2,1699,"R"
"BlackMale",2000,90,NA,4.4,129,"R"
"Blackball",2003,96,NA,5.1,405,"R"
"Blackout, The",1997,98,NA,4.4,526,"R"
"Blacktop",2000,100,3500000,4.7,192,"R"
"Blackwater Trail",1996,97,NA,4.7,36,"R"
"Blackwoods",2002,90,NA,5,179,"R"
"Blade",1998,110,45000000,6.8,24372,"R"
"Blade II",2002,108,55000000,6.6,17139,"R"
"Blade: Trinity",2004,124,65000000,5.7,7439,"R"
"Blair Witch Project, The",1999,86,35000,6.1,39814,"R"
"Blast",1996,105,NA,4.4,156,"R"
"Blast",2000,88,NA,5.6,57,"R"
"Blast from the Past",1999,112,35000000,6.4,9483,"PG-13"
"Bleeders",1997,89,NA,3.8,486,"R"
"Bless the Child",2000,107,40000000,5,3814,"R"
"Blessed",2004,98,NA,4.6,187,"R"
"Blessed Art Thou",2000,90,NA,6.5,26,"PG-13"
"Blind Faith",1998,122,NA,6.6,120,"R"
"Blind Heat",2002,95,NA,2.9,20,"R"
"Blind Horizon",2003,99,5100000,5.5,801,"R"
"Blink of an Eye",1999,97,NA,4.7,51,"R"
"Bliss",1997,103,NA,5.8,478,"R"
"Blonde Heaven",1995,80,NA,3.4,70,"R"
"Blondes Have More Guns",1995,90,NA,4.2,45,"R"
"Blood & Donuts",1995,89,NA,5.2,234,"R"
"Blood Dolls",1999,84,NA,3.4,241,"R"
"Blood Feast 2: All U Can Eat",2002,99,NA,4.9,145,"R"
"Blood Money",1996,90,NA,2.8,37,"R"
"Blood Oranges, The",1997,93,NA,4,91,"R"
"Blood Work",2002,110,50000000,6.3,5965,"R"
"Blood and Wine",1996,101,26000000,6,2134,"R"
"Blood for Dracula",1974,106,NA,5.4,751,"R"
"Blood of the Hunter",1995,93,NA,4.2,59,"PG-13"
"Blood of the Innocent",1994,95,NA,4.1,78,"R"
"Blood, Guts, Bullets and Octane",1998,87,7300,5.3,285,"R"
"Bloodfist VIII: Trained to Kill",1996,85,NA,2.6,34,"R"
"Bloodletting, The",2004,87,NA,5.6,5,"R"
"Bloodmoon",1997,102,NA,4.1,86,"R"
"Bloodsport 2",1996,71,NA,4.3,274,"R"
"Bloody Mallory",2002,94,NA,4.1,167,"R"
"Bloody Sunday",2002,107,5000000,7.6,2388,"R"
"Bloom",2003,113,NA,4.2,58,"R"
"Blow",2001,124,30000000,7.1,18670,"R"
"Blow Dry",2001,87,NA,6.1,1611,"R"
"Blowback",2000,91,NA,4.3,201,"R"
"Blue Car",2002,96,NA,7,819,"R"
"Blue Collar Comedy Tour: The Movie",2003,105,NA,7.6,804,"PG-13"
"Blue Crush",2002,104,30000000,5.7,4791,"PG-13"
"Blue Diner, The",2001,100,NA,5.8,51,"PG-13"
"Blue Hawaii",1961,102,NA,5.3,682,"PG"
"Blue Hill Avenue",2001,120,1200000,6.6,85,"R"
"Blue Juice",1995,90,NA,5.1,574,"R"
"Blue Moon",2000,89,NA,5.1,70,"PG-13"
"Blue Ridge Fall",1999,105,NA,4.9,92,"R"
"Blueberry",2004,124,NA,5.2,1256,"R"
"Blues Brothers 2000",1998,123,28000000,4.5,5267,"PG-13"
"Boat Trip",2002,97,20000000,4.5,2991,"R"
"Bobby G. Can't Swim",1999,89,NA,6.2,98,"R"
"Bobby Jones, Stroke of Genius",2004,120,NA,6.2,490,"PG"
"Boca a boca",1995,106,NA,6.8,375,"R"
"Bodily Harm",1995,91,NA,4.7,93,"R"
"Body Shots",1999,106,NA,4.9,1805,"R"
"Body and Soul",1998,91,NA,3.6,53,"R"
"Body of Influence 2",1996,87,1200000,3.4,44,"R"
"Body, The",2001,109,NA,5.3,1646,"PG-13"
"Bodywork",1999,92,NA,4.8,52,"R"
"Bogus",1996,110,32000000,5,1007,"PG"
"Boiler Room",2000,118,9000000,6.8,8586,"R"
"Boksuneun naui geot",2002,121,NA,7.6,1325,"R"
"Bold Affair, A",1998,99,NA,4.1,71,"R"
"Bollywood/Hollywood",2002,105,NA,6.1,593,"PG-13"
"Bom yeoreum gaeul gyeoul geurigo bom",2003,103,NA,8.2,2829,"R"
"Bombshell",1996,98,NA,4.3,65,"R"
"Bon voyage",2003,115,20000000,7.2,1061,"PG-13"
"Bone Collector, The",1999,118,48000000,6.2,17766,"R"
"Bone Daddy",1998,90,NA,5.3,371,"R"
"Bone Snatcher, The",2003,96,6000000,4.1,400,"R"
"Bones",2001,96,16000000,4.2,1418,"R"
"Bongwater",1997,97,NA,4.5,458,"R"
"Boogeyman",2005,89,20000000,4.1,2055,"PG-13"
"Boogie Boy",1998,104,NA,5,203,"R"
"Boogie Nights",1997,156,15000000,7.6,27380,"R"
"Book of Love",1990,82,NA,5.1,199,"R"
"Book of Love",2004,83,NA,2.9,134,"R"
"Book of Mormon Movie, Volume 1: The Journey, The",2003,120,2000000,3.4,142,"PG-13"
"Book of Shadows: Blair Witch 2",2000,90,15000000,4.2,6532,"R"
"Bookies",2003,88,NA,5.5,208,"R"
"Boondock Saints, The",1999,110,NA,7.7,17935,"R"
"Boot, Das",1981,216,14000000,8.5,28920,"R"
"Bootmen",2000,95,NA,6,465,"R"
"Booty Call",1997,79,NA,4.9,1401,"R"
"Bor lei jun",1999,99,NA,5.3,1421,"PG-13"
"Bordello of Blood",1996,72,NA,4.6,2187,"R"
"Boricua's Bond",2000,105,NA,3.8,78,"R"
"Born Bad",1999,88,NA,5.1,92,"R"
"Born Free",1966,95,NA,6.9,763,"PG"
"Born Into Brothels: Calcutta's Red Light Kids",2004,85,NA,7.8,366,"R"
"Born Romantic",2000,96,NA,6.2,406,"R"
"Born Wild",1995,91,NA,4.4,16,"PG"
"Borrowers, The",1997,89,29000000,5.6,1457,"PG"
"Bossa Nova",2000,95,NA,6.6,630,"R"
"Boston Kickout",1995,110,NA,5.7,113,"R"
"Botte di Natale",1994,107,NA,5,201,"PG"
"Bounce",2000,106,35000000,5.8,5390,"PG-13"
"Bound",1996,109,4500000,7.5,11911,"R"
"Bounty Hunters",1997,98,NA,4.9,76,"R"
"Bourne Identity, The",2002,119,75000000,7.3,29871,"PG-13"
"Bourne Supremacy, The",2004,108,75000000,7.3,19878,"PG-13"
"Bowfinger",1999,97,55000000,6.4,15000,"PG-13"
"Bowling for Columbine",2002,120,4000000,8.5,36747,"R"
"Box of Moon Light",1996,112,NA,6.9,1433,"R"
"Boxer, The",1997,113,NA,6.9,2375,"R"
"Boy Called Hate, A",1996,97,NA,4.8,89,"R"
"Boys",1996,86,NA,4.6,915,"PG-13"
"Boys Club, The",1997,91,NA,6,353,"R"
"Boys Don't Cry",1999,118,2000000,7.6,14456,"R"
"Boys On the Run",2001,97,NA,5.3,36,"R"
"Boys and Girls",2000,94,16000000,4.9,3483,"PG-13"
"Boys of 2nd Street Park, The",2003,91,NA,7.2,38,"R"
"Boys, The",1998,86,NA,6.3,254,"R"
"Brady Bunch Movie, The",1995,90,12000000,5.6,4636,"PG-13"
"Brassed Off",1996,107,NA,7.2,4974,"R"
"Braveheart",1995,177,53000000,8.3,92437,"R"
"Bravo Two Zero",1999,115,6500000,6.5,578,"R"
"Bread and Roses",2000,110,NA,7,1172,"R"
"Bread, My Sweet, The",2001,105,600000,6.8,257,"PG-13"
"Break Up",1998,100,9000000,5.1,393,"R"
"Break, The",1995,104,NA,4.9,81,"PG-13"
"Breakaway",1996,95,NA,4,38,"R"
"Breakdown",1997,95,36000000,6.7,7099,"R"
"Breakfast of Champions",1999,110,12000000,4.2,2250,"R"
"Breakin' All the Rules",2004,85,NA,5,575,"PG-13"
"Breaking Free",1995,106,NA,6.3,79,"PG"
"Breaking Up",1997,90,NA,4.5,648,"R"
"Breaking the Silence",1998,90,NA,2.9,41,"R"
"Breaking the Waves",1996,158,NA,7.7,10494,"R"
"Breast Men",1997,96,NA,5.6,1171,"R"
"Breathing Room",1996,90,500000,4,39,"R"
"Breed, The",2001,91,4000000,4.7,582,"R"
"Briar Patch",2003,103,NA,2.5,265,"R"
"Bride & Prejudice",2004,122,7000000,6.3,1503,"PG-13"
"Bride of Chucky",1998,89,25000000,5.2,4449,"R"
"Bride of the Wind",2001,99,12000000,5.2,201,"R"
"Bridge of Dragons",1999,95,4000000,3.7,373,"R"
"Bridges of Madison County, The",1995,135,22000000,6.9,7633,"PG-13"
"Bridget Jones's Diary",2001,97,26000000,7,24791,"R"
"Bridget Jones: The Edge of Reason",2004,108,70000000,5.7,6636,"R"
"Brigham City",2001,119,1000000,7.1,405,"PG-13"
"Bright Young Things",2003,105,NA,6.8,621,"R"
"Bring It On",2000,98,10000000,6.1,11784,"PG-13"
"Bring Me the Head of Mavis Davis",1997,100,NA,4.9,161,"R"
"Bringing Down the House",2003,105,35000000,5.6,6501,"PG-13"
"Bringing Out the Dead",1999,121,32000000,6.7,13989,"R"
"Broadcast Bombshells",1995,84,NA,3,52,"R"
"Brokedown Palace",1999,100,NA,6.1,4321,"PG-13"
"Broken Arrow",1996,108,65000000,5.7,14415,"R"
"Broken English",1996,92,NA,6.5,299,"R"
"Broken Vessels",1998,90,600000,6.1,223,"R"
"Brooklyn Babylon",2001,89,NA,5.6,75,"R"
"Brooklyn Bound",2004,90,70000,4.2,30,"R"
"Brooklyn Sonnet",2000,95,NA,5.9,25,"R"
"Brother",2000,114,12000000,7.1,4322,"R"
"Brother John",1971,95,NA,6.4,66,"PG-13"
"Brother from Another Planet, The",1984,106,300000,6.7,1133,"R"
"Brother's Kiss, A",1997,92,NA,6.3,102,"R"
"Brotherhood, The",1968,96,NA,5.6,106,"PG-13"
"Brothers McMullen, The",1995,98,23800,6.4,2325,"R"
"Brown Sugar",2002,109,8000000,5.9,941,"PG-13"
"Brown's Requiem",1998,104,NA,5.7,303,"R"
"Bruce Almighty",2003,101,81000000,6.4,23905,"PG-13"
"Bruno",2000,108,10000000,6,295,"PG-13"
"Brylcreem Boys, The",1998,106,6000000,6,199,"PG-13"
"Bubba Ho-tep",2002,92,1000000,7.5,7142,"R"
"Bubble Boy",2001,84,13000000,5.1,2904,"PG-13"
"Buck Naked Arson",2001,85,NA,6.5,38,"R"
"Buck and the Magic Bracelet",1999,99,NA,2,8,"PG-13"
"Buddy",1997,84,NA,4.6,458,"PG"
"Buddy Boy",1999,105,NA,5.6,106,"R"
"Buffalo '66",1998,110,1500000,7.2,6652,"R"
"Buffalo Soldiers",2001,98,15000000,7,3753,"R"
"Bug Buster",1998,93,8500000,2.9,268,"PG-13"
"Bug Off!",2001,84,NA,3.2,37,"PG"
"Bulletproof",1996,84,NA,5.4,3613,"R"
"Bulletproof Monk",2003,104,52000000,5.2,5405,"PG-13"
"Bullfighter",2000,90,NA,2.7,58,"R"
"Bully",2001,113,NA,7,4913,"R"
"Bumblebee Flies Anyway, The",1999,96,NA,6.1,604,"PG-13"
"Bunker, The",2001,92,NA,5.4,927,"R"
"Bure baruta",1998,102,NA,7.5,620,"R"
"Burial Society, The",2002,94,1500000,6.5,52,"R"
"Bush's Brain",2004,80,NA,6.8,264,"PG-13"
"Business Affair, A",1994,98,NA,5.2,131,"R"
"Business of Strangers, The",2001,84,NA,6.4,1458,"R"
"Busted",1996,93,NA,3,196,"R"
"But I'm a Cheerleader",1999,85,1200000,6.2,3897,"R"
"Butter",1998,101,NA,2.9,83,"R"
"Butterfly Effect, The",2004,120,13000000,7.6,22975,"R"
"Buying the Cow",2002,88,NA,5.6,936,"R"
"Bye Bye, Love",1995,106,NA,5.8,1420,"PG-13"
"C'era una volta il West",1968,158,5000000,8.7,17241,"PG-13"
"CQ",2001,91,7000000,6.4,1315,"R"
"Cabin Fever",2002,93,1500000,5.1,7776,"R"
"Cable Guy, The",1996,96,47000000,5.5,16266,"PG-13"
"Cachorro",2004,100,NA,7.4,210,"R"
"Cadillac Ranch",1996,100,NA,5.3,89,"R"
"Caduta degli dei, La",1969,150,NA,7.3,708,"R"
"Cafe Society",1995,104,3500000,5.7,137,"R"
"Caged Hearts",1995,94,NA,3.7,47,"R"
"Calcium Kid, The",2004,89,NA,5.4,423,"R"
"Calendar Girls",2003,108,NA,7.1,3618,"PG-13"
"Caligula",1996,51,NA,1.5,15,"R"
"Calling Bobcat",2000,91,230000,5,42,"R"
"Camp",2003,114,NA,6.6,1332,"PG-13"
"Campfire Tales",1997,88,NA,5.6,561,"R"
"Can't Be Heaven",2000,94,2000000,5.7,104,"PG"
"Can't Hardly Wait",1998,101,10000000,6.2,8191,"PG-13"
"Candyman: Farewell to the Flesh",1995,93,NA,4.5,1176,"R"
"Cannes Man",1996,88,NA,5.4,130,"R"
"Cape Fear",1991,128,35000000,7.1,15585,"R"
"Captain Corelli's Mandolin",2001,131,57000000,5.9,5281,"R"
"Captain Nuke and the Bomber Boys",1995,90,NA,4.5,80,"PG"
"Captiva Island",1995,85,NA,4.5,35,"PG"
"Captives",1994,100,NA,6.1,541,"R"
"Captured",2000,95,NA,2.7,201,"R"
"Captured Alive",1995,83,NA,1.5,12,"R"
"Carandiru",2003,147,6000000,7.7,1608,"R"
"Career Girls",1997,87,NA,7,1156,"R"
"Carman: The Champion",2001,82,NA,4.6,412,"PG-13"
"Carnal Desires",1999,87,NA,2.8,42,"R"
"Carnival of Souls",1998,90,2000000,2.8,462,"R"
"Carpool",1996,89,17000000,4.5,829,"PG"
"Carried Away",1996,109,NA,6.4,393,"R"
"Carrington",1995,121,NA,6.5,1401,"R"
"Casa de los babys",2003,95,NA,6.7,572,"R"
"Casino",1995,176,52000000,7.8,27234,"R"
"Casper",1995,100,55000000,5.6,8798,"PG"
"Cast Away",2000,143,90000000,7.3,34580,"PG-13"
"Castle Freak",1995,95,NA,4.9,573,"R"
"Casualties",1997,85,NA,5.4,221,"R"
"Cat in the Hat, The",2003,82,109000000,3.2,4997,"PG"
"Cat's Meow, The",2001,114,NA,6.5,2195,"PG-13"
"Catch Me If You Can",2002,141,52000000,7.6,39915,"PG-13"
"Catch That Kid",2004,91,18000000,4.5,598,"PG"
"Catfish in Black Bean Sauce",1999,119,NA,6.7,181,"PG-13"
"Catherine's Grove",1997,91,NA,3.1,38,"R"
"Cats & Dogs",2001,87,60000000,5.4,6487,"PG"
"Catwoman",2004,104,85000000,3.4,8815,"PG-13"
"Caught",1996,110,NA,6.5,317,"R"
"Caught Up",1998,97,NA,4.8,188,"R"
"Cause of Death",2000,95,NA,4.4,85,"R"
"Cavedweller",2004,101,NA,4.8,110,"R"
"Caveman's Valentine, The",2001,105,NA,6,1505,"R"
"Cecil B. DeMented",2000,87,10000000,6,3464,"R"
"Celebrity",1998,113,12000000,6.1,4820,"R"
"Cell, The",2000,109,33000000,6.1,16118,"R"
"Cellblock Sisters: Banished Behind Bars",1995,95,NA,3,102,"R"
"Cellular",2004,94,25000000,6.4,6182,"PG-13"
"Celsius 41.11: The Temperature at Which the Brain... Begins to Die",2004,72,NA,3.8,584,"R"
"Cement",1999,97,NA,5.3,99,"R"
"Centerfold",1996,86,NA,4.2,35,"R"
"Century",1993,112,NA,5.6,68,"R"
"Century Hotel",2001,95,NA,6.7,166,"R"
"Cero y van cuatro",2004,92,NA,7.3,26,"R"
"Chain Reaction",1996,106,55000000,5.1,5936,"PG-13"
"Chain of Command",2000,96,NA,4.6,299,"R"
"Chain of Fools",2000,96,20000000,6.1,845,"R"
"Chairman of the Board",1998,95,10000000,2.6,666,"PG-13"
"Chakushin ari",2003,111,NA,6.4,691,"R"
"Chamber, The",1996,113,50000000,5.7,2540,"R"
"Chameleon",1995,108,NA,5.7,177,"R"
"Champions",1998,99,NA,3.3,86,"R"
"Changing Habits",1997,95,1200000,5.5,134,"R"
"Changing Lanes",2002,99,45000000,6.6,12779,"R"
"Chao ji ji hua",1993,104,NA,5.8,554,"R"
"Chaos Factor, The",2000,95,NA,4.5,109,"R"
"Chapter Perfect",1998,100,NA,2.1,13,"R"
"Charades",1998,94,NA,4.1,62,"R"
"Charlie",2004,94,5000000,5,141,"R"
"Charlie's Angels",2000,94,92000000,5.8,25705,"PG-13"
"Charlie's Angels: Full Throttle",2003,107,120000000,5,13990,"PG-13"
"Charlotte Gray",2001,121,NA,6.3,1832,"PG-13"
"Charlotte Sometimes",2002,85,80000,4.6,555,"R"
"Charly",2002,103,950000,5.5,149,"PG"
"Chasing Amy",1997,111,250000,7.6,32141,"R"
"Chasing Destiny",2001,91,NA,4.9,72,"PG-13"
"Chasing Holden",2001,101,NA,5,136,"R"
"Chasing Liberty",2004,111,23000000,5.7,1911,"PG-13"
"Chasing Papi",2003,81,NA,4.2,598,"PG"
"Chasing Sleep",2000,104,NA,6.4,496,"R"
"Cheaper by the Dozen",2003,98,40000000,5.8,5977,"PG"
"Cheats",2002,90,NA,5.9,783,"PG-13"
"Cheerleader Ninjas",2002,96,NA,3.1,151,"R"
"Chek law dak gung",2002,90,NA,5.4,651,"R"
"Chelsea Walls",2001,109,NA,4.3,600,"R"
"Cheng shi lie ren",1993,105,NA,6.2,919,"PG-13"
"Cherish",2002,99,1500000,6.5,743,"R"
"Cherry",1999,90,NA,5.2,139,"R"
"Cherry Falls",2000,92,14000000,4.9,2165,"R"
"Chicago",2002,113,45000000,7.5,34933,"PG-13"
"Chicago Cab",1998,96,NA,6.4,586,"R"
"Chik yeung tin sai",2002,106,NA,6.8,1059,"R"
"Chiklo gouyeung",1992,89,NA,6,424,"R"
"Children On Their Birthdays",2002,102,10000000,6,163,"PG"
"Children of the Corn III",1995,92,NA,3.3,678,"R"
"Children of the Living Dead",2001,90,NA,2.1,385,"R"
"Children of the Revolution",1996,101,NA,6.3,786,"R"
"Chill Factor",1999,101,34000000,5,2542,"R"
"Chillicothe",1999,90,NA,7.1,96,"R"
"Chin gei bin",2003,102,NA,5.8,562,"R"
"Chinese Box",1997,99,NA,6,917,"R"
"Chinese Coffee",2000,99,NA,6.9,61,"R"
"Chocolat",2000,121,NA,7.3,20031,"PG-13"
"Choke",2000,89,NA,3.2,95,"R"
"Chong qing sen lin",1994,102,NA,7.7,4814,"PG-13"
"Chooch",2003,81,NA,4,9,"R"
"Chopin. Pragnienie milosci",2002,134,3500000,4,55,"R"
"Chopper",2001,3,NA,6.4,58,"R"
"Choristes, Les",2004,96,NA,7.7,2374,"PG-13"
"Christina's House",1999,96,NA,4,481,"R"
"Christmas Carol, A",1997,72,NA,4.5,86,"PG"
"Christmas Carol: The Movie",2001,81,NA,4.9,95,"PG"
"Christmas with the Kranks",2004,98,60000000,4.5,1520,"PG"
"Chrome and Hot Leather",1971,91,NA,4.5,48,"PG-13"
"Chronicles of Riddick, The",2004,135,110000000,6.2,11438,"PG-13"
"Chrystal",2004,106,NA,3.8,169,"R"
"Chuck&Buck",2000,96,250000,6.6,1919,"R"
"Chuen jik sat sau",2001,102,NA,6.8,1234,"R"
"Chump Change",2004,87,NA,5,139,"R"
"Chunhyang",2000,120,NA,7.5,507,"R"
"Ciao America",2002,100,5000000,4.8,27,"R"
"Cible, La",1997,95,NA,6.9,21,"R"
"Cidade de Deus",2002,135,3300000,8.7,25964,"R"
"Cider House Rules, The",1999,126,24000000,7.5,18950,"PG-13"
"Cilantro y perejil",1995,90,NA,6.5,106,"PG-13"
"Cinderella Story, A",2004,95,20000000,4.9,2755,"PG"
"Circle of Friends",1995,103,NA,6.6,2499,"PG-13"
"Circuit, The",2002,91,NA,2.8,71,"R"
"Circus",2000,95,NA,5.6,728,"R"
"Citizen Toxie: The Toxic Avenger IV",2000,99,NA,6.5,531,"R"
"Citizen Verdict",2003,97,10000000,4.8,58,"R"
"City Hall",1996,111,40000000,6.1,4381,"R"
"City by the Sea",2002,108,60000000,6.3,4886,"R"
"City of Angels",1998,114,55000000,6.2,15333,"PG-13"
"City of Ghosts",2002,116,17500000,5.6,877,"R"
"City of the Dead, The",1960,76,NA,6.5,419,"PG-13"
"Civil Action, A",1998,112,60000000,6.4,6847,"PG-13"
"Civil Brand",2002,95,500000,4.1,102,"R"
"Claim, The",2000,115,NA,6.5,1710,"R"
"Class of Nuke 'Em High 3: The Good, the Bad and the Subhumanoid",1994,102,NA,3.7,88,"R"
"Claudine's Return",1998,91,2000000,3.8,80,"R"
"Claustrophobia",2003,79,114000,4.2,90,"R"
"Clay Pigeons",1998,104,8000000,6.4,2658,"R"
"Clean and Narrow",1999,85,NA,4.1,45,"R"
"Clerks.",1994,92,230000,7.9,39927,"R"
"Click: The Body Beautiful",2000,91,NA,2.5,41,"R"
"Climb, The",1998,98,NA,6.7,139,"PG-13"
"Climb, The",2002,98,2500000,5.2,83,"PG"
"Clockers",1995,129,25000000,6.8,3099,"R"
"Clockstoppers",2002,94,26000000,5.1,2555,"PG"
"Clockwatchers",1997,96,NA,6.4,1786,"PG-13"
"Close Enough to Touch",2002,87,NA,3.7,39,"R"
"Close Up",1996,84,NA,6.7,10,"R"
"Closer You Get, The",2000,90,NA,6.2,441,"PG-13"
"Clown at Midnight, The",1998,91,NA,4.2,235,"R"
"Club Dread",2004,119,9000000,5.2,3432,"R"
"Club V.R.",1996,93,NA,3.5,25,"R"
"Club Vampire",1998,76,NA,1.8,84,"R"
"Club Wild Side",1998,101,NA,4.9,44,"R"
"Clubhouse Detectives",1996,85,NA,4.7,51,"PG"
"Clubland",1999,94,4000000,4,58,"R"
"Clueless",1995,97,20000000,6.7,16521,"PG-13"
"Coach Carter",2005,136,30000000,6.6,1636,"PG-13"
"Coastlines",2002,119,NA,5.7,29,"R"
"Cockettes, The",2002,100,300000,6.6,177,"R"
"Cockfight",2001,45,NA,7.9,12,"R"
"Code 46",2003,92,7500000,6.4,2094,"R"
"Code Conspiracy, The",2001,97,NA,6.1,123,"PG-13"
"Codename: Silencer",1995,93,NA,4.3,67,"R"
"Coffee and Cigarettes",2003,95,NA,6.8,3729,"R"
"Cold Around the Heart",1997,96,NA,3.8,407,"R"
"Cold Creek Manor",2003,118,NA,4.8,3498,"R"
"Cold Harvest",1998,89,NA,4.8,90,"R"
"Cold Heart",2001,95,3000000,4.1,140,"R"
"Cold Hearts",1999,90,900000,3.9,131,"R"
"Cold Mountain",2003,152,83000000,7.4,15712,"R"
"Coldblooded",1995,92,NA,6.6,872,"R"
"Collateral",2004,120,65000000,7.7,24499,"R"
"Collateral Damage",2002,108,85000000,5.2,8590,"R"
"Collectors, The",1999,90,NA,3.8,125,"R"
"Colorz of Rage",1999,90,NA,2.6,21,"R"
"Comedian Harmonists",1997,126,NA,7.3,939,"R"
"Comfortably Numb",1995,100,NA,4.5,18,"NC-17"
"Commandments",1997,88,5000000,5.4,468,"R"
"Comme une image",2004,110,NA,7.3,924,"PG-13"
"Committed",2000,98,3000000,5.2,739,"R"
"Company Man",2000,86,16000000,4.8,492,"PG-13"
"Company, The",2003,112,15000000,6.2,1505,"PG-13"
"Complicity",2000,99,NA,5.6,160,"R"
"Comunidad, La",2000,110,2000000,7.2,1270,"R"
"Coneheads",1993,88,NA,4.9,5249,"PG"
"Confession, The",1999,114,4000000,5.8,519,"R"
"Confessions of a Dangerous Mind",2002,113,29000000,7.1,11487,"R"
"Confessions of a Teenage Drama Queen",2004,89,15000000,4.4,2205,"PG"
"Confidence",2003,97,15000000,6.8,6168,"R"
"Confidences trop intimes",2004,104,NA,7,751,"R"
"Congo",1995,109,50000000,4.4,8058,"PG-13"
"Connie and Carla",2004,98,NA,6.1,1367,"PG-13"
"Consequence",2003,97,NA,4.5,104,"R"
"Conspiracy Theory",1997,135,75000000,6.4,15470,"R"
"Contact",1997,153,90000000,7.3,36390,"PG"
"Contaminated Man, The",2000,100,NA,4.6,300,"R"
"Conte d'automne",1998,112,NA,7.1,855,"PG"
"Contender, The",2000,126,9000000,6.9,7023,"R"
"Contract, The",2000,42,NA,4.2,6,"R"
"Controlled Chaos",2003,93,NA,5.1,11,"R"
"Controvento",2000,98,NA,5.4,25,"R"
"Convent, The",2000,84,NA,4.8,629,"R"
"Convergence",1999,93,NA,4.3,212,"R"
"Cookers",2001,96,NA,8.6,22,"R"
"Cookie's Fortune",1999,118,NA,6.9,4727,"PG-13"
"Cookout, The",2004,97,NA,3.2,368,"PG-13"
"Cool, Dry Place, A",1998,97,NA,6.3,725,"PG-13"
"Cooler, The",2003,101,NA,7,6329,"R"
"Cop Land",1997,116,15000000,6.7,12677,"R"
"Copycat",1995,123,20000000,6.5,7804,"R"
"Cord",2000,100,NA,5.3,384,"R"
"Core, The",2003,135,74000000,5.4,7860,"PG-13"
"Corky Romano",2001,86,11000000,4.6,2463,"PG-13"
"Coronado",2003,88,4700000,4.5,411,"PG-13"
"Corporate Fantasy",1999,86,NA,3.1,46,"R"
"Corporate Ladder, The",1997,112,NA,4.6,72,"R"
"Corpse, The",1970,91,NA,3.6,73,"R"
"Corruptor, The",1999,99,NA,5.5,4312,"R"
"Cosi",1996,103,NA,6.8,536,"R"
"Cotton Mary",1999,124,3500000,5.3,164,"R"
"Count Yorga, Vampire",1970,90,NA,5.4,278,"PG-13"
"Count of Monte Cristo, The",2002,134,35000000,7.4,13907,"PG-13"
"Counter Measures",1999,90,NA,3.7,119,"R"
"Country Life",1994,114,NA,6.2,280,"PG-13"
"Country of My Skull",2004,104,12000000,5.1,194,"R"
"Courage Under Fire",1996,117,46000000,6.7,8884,"R"
"Cousin Bette",1998,108,NA,6.2,628,"R"
"Cover Me",1995,94,NA,3.5,79,"R"
"Cover Story",2002,92,NA,3.5,64,"R"
"Cowboy Up",2001,105,NA,5.3,143,"PG-13"
"Cowboys and Angels",2000,97,NA,6.5,83,"PG"
"Coyote Run",1996,101,NA,3.9,37,"R"
"Coyote Ugly",2000,100,45000000,5.4,13221,"R"
"Crack in the Floor, A",2000,90,NA,2.5,199,"R"
"Crackerjack 2",1996,96,NA,2.7,69,"R"
"Crackerjack 3",2000,97,NA,4.8,29,"PG-13"
"Cradle 2 the Grave",2003,101,25000000,5.3,4164,"R"
"Cradle Will Rock",1999,132,32000000,6.7,3375,"R"
"Craft, The",1996,101,15000000,5.9,9187,"R"
"Crash",2004,113,6500000,8.3,1660,"R"
"Crash Point Zero",2000,89,NA,2.8,97,"R"
"Crazy Six",1998,94,NA,1.9,273,"R"
"Crazy as Hell",2002,113,NA,5.5,174,"R"
"Crazy in Alabama",1999,111,15000000,6.1,2086,"PG-13"
"Crazy/Beautiful",2001,135,14000000,6.5,4503,"PG-13"
"Crazysitter, The",1995,92,NA,3.8,79,"PG-13"
"Creeps, The",1997,80,NA,3.2,107,"PG-13"
"Crew, The",2000,84,23000000,5.3,1297,"PG-13"
"Crier, The",1995,78,250000,3.3,12,"R"
"Crime Partners 2000",2001,102,250000,4.4,57,"R"
"Crime Spree",2003,98,10000000,6.3,953,"R"
"Crime and Punishment in Suburbia",2000,98,NA,5.8,873,"R"
"Crimebroker",1993,93,NA,4.6,49,"R"
"Crimen del padre Amaro, El",2002,118,1800000,7,2469,"R"
"Crimetime",1996,118,NA,3,359,"R"
"Criminal",2004,87,NA,6.4,762,"R"
"Criminal Hearts",1995,92,NA,4.8,74,"R"
"Criminal Minds",1998,88,NA,6.5,6,"R"
"Criminal, The",1999,99,NA,5.5,152,"R"
"Crimson Tide",1995,116,53000000,7.1,14033,"R"
"Critical Care",1997,107,12000000,5.8,397,"R"
"Critical Mass",2000,92,NA,4.1,86,"R"
"Crna macka, beli macor",1998,123,NA,7.6,4613,"R"
"Crocodile 2: Death Swamp",2002,89,NA,3.6,249,"R"
"Crocodile Dundee in Los Angeles",2001,92,25000000,4.7,2698,"PG"
"Crocodile Hunter: Collision Course, The",2002,90,13000000,5.3,1648,"PG"
"Crosscut",1996,98,NA,5.5,43,"R"
"Crossing Guard, The",1995,111,NA,6.3,2269,"R"
